url,path,title,h1,meta_description,canonical,schema_types,lastmod,changefreq,priority
https://poe-developer-suite.pages.dev/,site/index.html,Developer & Data Automation Suite for Poe | Zero-Retention Utilities,Developer & Data Automation Suite for Poe,Verified privacy-first developer bots for Poe: structured receipt & invoice OCR ReDoS-safe regex testing and schema-verified English-to-SQL generation.,https://poe-developer-suite.pages.dev/,WebSite;Organization,2026-09-07,weekly,1.0
https://poe-developer-suite.pages.dev/receipt-ocr/,site/receipt-ocr/index.html,Receipt & Invoice OCR to JSON Bot on Poe | Field Confidence & Verification,Receipt & Invoice OCR to JSON: Practical Tested Extraction,Extract vendor date line items tax and total from receipt photos. Free Poe OCR bot with automated arithmetic reconciliation and confidence warnings.,https://poe-developer-suite.pages.dev/receipt-ocr/,SoftwareApplication;FAQPage,2026-09-07,weekly,0.9
https://poe-developer-suite.pages.dev/regex-tester/,site/regex-tester/index.html,Regex Generator & Tester Bot on Poe | Tested Samples & ReDoS Defense,Regex Generator & Tester: Tested Against Your Real Strings,Generate production-ready regular expressions tested against real sample strings. Bot executes matches detects nested ReDoS risks and outputs capture groups.,https://poe-developer-suite.pages.dev/regex-tester/,SoftwareApplication;FAQPage,2026-09-07,weekly,0.9
https://poe-developer-suite.pages.dev/english-to-sql/,site/english-to-sql/index.html,English to SQL Bot on Poe | In-Memory SQLite Sandbox Verification,English-to-SQL Bot: Verified In-Memory Execution,Generate schema-aware SQL from English questions. Bot executes queries in an in-memory SQLite sandbox verifies results and prevents syntax errors.,https://poe-developer-suite.pages.dev/english-to-sql/,SoftwareApplication;FAQPage,2026-09-07,weekly,0.9
https://poe-developer-suite.pages.dev/workflows/receipt-to-expense-analysis/,site/workflows/receipt-to-expense-analysis/index.html,Receipt to Expense Analysis Workflow | Poe Automation Suite,Receipt-to-Expense Analysis: Multi-Bot Automation Pipeline,End-to-end automated financial pipeline: extract receipt images with OCR-Doc-Parser validate tax IDs with Regex-Gen-Tester and analyze spend with English-To-SQL.,https://poe-developer-suite.pages.dev/workflows/receipt-to-expense-analysis/,None,2026-09-07,weekly,0.8
https://poe-developer-suite.pages.dev/guides/,site/guides/index.html,Developer Guides & Tutorials | Poe Developer Automation Suite,Developer & Analyst Guides,Tested guides on receipt OCR to JSON safe regular expression generation schema-driven SQL and automated data pipelines.,https://poe-developer-suite.pages.dev/guides/,None,2026-09-07,weekly,0.7
https://poe-developer-suite.pages.dev/examples/,site/examples/index.html,Real-World Examples & Prompts | Poe Developer Automation Suite,Copyable Examples & Prompts,Copyable prompts schemas and sample fixtures for OCR-Doc-Parser Regex-Gen-Tester and English-To-SQL on Poe.,https://poe-developer-suite.pages.dev/examples/,None,2026-09-07,weekly,0.7
https://poe-developer-suite.pages.dev/benchmarks/,site/benchmarks/index.html,Live Benchmarks & Verification Methodology | Poe Developer Suite,Live Verification Benchmarks & Methodology,Transparent empirical benchmarks for OCR-Doc-Parser Regex-Gen-Tester and English-To-SQL. Real latency profiles accuracy scores and test suite results.,https://poe-developer-suite.pages.dev/benchmarks/,None,2026-09-07,monthly,0.6
https://poe-developer-suite.pages.dev/privacy/,site/privacy/index.html,Privacy Policy | Poe Developer Automation Suite,Zero-Retention Privacy Policy,Zero-retention privacy policy for OCR-Doc-Parser Regex-Gen-Tester and English-To-SQL on Poe.,https://poe-developer-suite.pages.dev/privacy/,None,2026-09-07,monthly,0.5
https://poe-developer-suite.pages.dev/terms/,site/terms/index.html,Terms of Service | Poe Developer Automation Suite,Terms of Service,Terms of service and acceptable use for Poe Developer Automation Suite bots.,https://poe-developer-suite.pages.dev/terms/,None,2026-09-07,monthly,0.5
https://poe-developer-suite.pages.dev/about/,site/about/index.html,About | Poe Developer Automation Suite,About Poe Developer Suite,About the open-source engineering behind Poe Developer Automation Suite.,https://poe-developer-suite.pages.dev/about/,None,2026-09-07,monthly,0.5
https://poe-developer-suite.pages.dev/contact/,site/contact/index.html,Contact & Issue Reporting | Poe Developer Automation Suite,Contact & Issue Reporting,Report bugs request features and get in touch with the Poe Developer Automation Suite maintainers.,https://poe-developer-suite.pages.dev/contact/,None,2026-09-07,monthly,0.5
