slug,cluster,title,primary_keyword,secondary_keywords,search_intent,funnel_stage,target_bot,priority,refresh_cadence,evidence_type
receipt-ocr-json-guide,ocr,Receipt OCR: How to Extract Receipts to Structured JSON,receipt ocr to json,extract receipt details image; receipt parser json,Tool/Solution,BOFU,ocr-doc-bot,P0,Monthly,Live OCR Output & Schema Diff
photograph-receipts-guide,ocr,How to Photograph Receipts for Maximum OCR Accuracy,how to photograph receipts for ocr,blurry receipt ocr; fix receipt scan glare,Problem/Troubleshooting,TOFU,ocr-doc-bot,P1,Quarterly,Laplacian Blur Gate Benchmarks
invoice-ocr-fields-guide,ocr,Essential Tax Invoice OCR Fields: Number Date GSTIN & Tax,invoice data extraction fields,gst invoice ocr; invoice line item parsing,Educational/Solution,MOFU,ocr-doc-bot,P0,Quarterly,Verified GSTIN Regex Checksum
ocr-benchmark-report,ocr,Live Document OCR Accuracy Benchmark: Clean vs Skewed vs Blurred,document ocr accuracy benchmark,receipt ocr benchmark; tesseract real accuracy,Comparison/Benchmark,MOFU,ocr-doc-bot,P0,Bi-weekly,16-Case Ground-Truth Suite
bank-statement-extraction,ocr,Bank Statement Table Extraction: Limitations & Validation Checklist,bank statement table extraction,convert statement pdf to json; statement ocr,Tool/Solution,BOFU,ocr-doc-bot,P1,Quarterly,Transactional Balance Math
regex-with-test-cases,regex,Regex Tester with Real Samples: Why Live Execution Matters,regex tester with test cases,test regex against strings; safe regex runner,Tool/Solution,BOFU,regex-bot,P0,Monthly,V8 Microsecond Benchmarks
redos-prevention-guide,regex,Understanding ReDoS: How to Detect and Prevent Catastrophic Backtracking,regex catastrophic backtracking checker,prevent redos; safe regex generator,Educational/Problem,MOFU,regex-bot,P0,Quarterly,OWASP ReDoS Tree Heuristics
email-regex-deep-dive,regex,Email Regex: Format Validation vs Deliverability Limitations,email regex with test examples,rfc 5322 email regex; email format validation,Template/Educational,MOFU,regex-bot,P1,Quarterly,Edge-Case Sample Table
phone-regex-international,regex,International Phone Number Regex: E.164 and Local Format Guide,regex for international phone numbers,indian mobile regex; e164 regex pattern,Template/Solution,BOFU,regex-bot,P1,Quarterly,Country Code Samples Table
english-to-sql-schema-guide,sql,English to SQL: The Schema-First Verification Workflow,english to sql with schema,convert natural language to sql; sql generator schema,Tool/Solution,BOFU,sql-bot,P0,Monthly,In-Memory SQLite WASM Proof
validate-sql-query-guide,sql,How to Validate Generated SQL Queries Before Production,how to validate generated sql,debug sql query online; test sql query sandbox,Problem/Solution,MOFU,sql-bot,P0,Quarterly,AST Destructive Parser Rules
sql-joins-visual-guide,sql,Visual Guide to SQL Joins with Interactive Working Samples,sql join examples with sample table,left join vs inner join test data; sql joins explained,Educational/Template,TOFU,sql-bot,P1,Quarterly,Tabular Pre/Post Join States
sqlite-vs-postgres-guide,sql,SQLite vs PostgreSQL Syntax Differences for Analytical Queries,sqlite vs postgresql differences,translate sqlite to postgres; date functions sql,Educational/Comparison,MOFU,sql-bot,P2,Quarterly,Dialect Function Polyfill Matrix
receipt-to-sql-pipeline,cross-product,Receipt Image to SQL Expense Report: A Complete Practical Pipeline,receipt image to sql expense report,extract receipt and query sql; expense ocr to database,Workflow/Solution,BOFU,all-three,P0,Monthly,End-to-End Execution Trace
data-sanitization-pipeline,cross-product,How to Validate and Clean Data with Regex Before Database Ingestion,clean data with regex before sql,regex validation sql import; sanitize csv regex,Workflow/Solution,MOFU,all-three,P1,Quarterly,Working Sanitization Pipeline
