case_id,condition,field,ground_truth,bot_value,match,confidence,severity,evidence
img_base_001_clean_cafe,"original",vendor,"STARBUCKS COFFEE","Kanda, Nair and Bhalla Mart",false,high,CRITICAL,"GT: ""STARBUCKS COFFEE"" vs Bot: ""Kanda, Nair and Bhalla Mart"""
img_base_001_clean_cafe,"original",total,"520","1684.63",false,high,CRITICAL,"GT: 520 vs Bot: 1684.63"
img_base_001_clean_cafe,"original",date,"12/05/2024","18/02/2025",false,high,CRITICAL,"GT: ""12/05/2024"" vs Bot: ""18/02/2025"""
img_base_001_clean_cafe,"original",time,"null","undefined",true,low,INFO,"GT: ""null"" vs Bot: ""undefined"""
img_base_001_clean_cafe,"original",receipt_number,"null","undefined",true,low,INFO,"GT: ""null"" vs Bot: ""undefined"""
img_base_001_clean_cafe,"original",subtotal,"null","1684.63",false,high,CRITICAL,"GT: NaN vs Bot: 1684.63"
img_base_001_clean_cafe,"original",taxes,"","undefined",true,low,INFO,"GT Tax: 0 vs Bot Tax: 0"
img_base_001_clean_cafe,"original",payment_method,"null","undefined",true,low,INFO,"GT: ""null"" vs Bot: ""undefined"""
img_quality_008_severe_blur,"original",vendor,"NOT_VISIBLE","OMITTED",true,none,INFO,"Correctly omitted non-visible field"
img_quality_008_severe_blur,"original",total,"NOT_VISIBLE","OMITTED",true,none,INFO,"Correctly omitted non-visible field"
img_quality_008_severe_blur,"original",date,"NOT_VISIBLE","OMITTED",true,none,INFO,"Correctly omitted non-visible field"
img_struct_020_handwritten,"original",vendor,"null","RIN SOND",true,high,INFO,"GT: ""null"" vs Bot: ""RIN SOND"""
img_struct_020_handwritten,"original",total,"450","355.08",false,high,CRITICAL,"GT: 450 vs Bot: 355.08"
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",vendor,"ARTISAN ROAST CAFE","undefined",true,low,INFO,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""undefined"""
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",total,"15.44","undefined",false,low,HIGH,"GT: 15.44 vs Bot: NaN"
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",date,"14-Oct-2024","undefined",true,low,INFO,"GT: ""14-Oct-2024"" vs Bot: ""undefined"""
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",time,"10:24 AM","undefined",true,low,INFO,"GT: ""10:24 AM"" vs Bot: ""undefined"""
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",receipt_number,"#AR7739","undefined",true,low,INFO,"GT: ""#AR7739"" vs Bot: ""undefined"""
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",subtotal,"14.7","undefined",false,low,MEDIUM,"GT: 14.7 vs Bot: NaN"
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",taxes,"[object Object],[object Object]","undefined",false,low,MEDIUM,"GT Tax: 0.74 vs Bot Tax: 0"
receipt_001_blur,"Moderate Gaussian blur (Laplacian variance test)",payment_method,"Visa","undefined",true,low,INFO,"GT: ""Visa"" vs Bot: ""undefined"""
receipt_001_contrast,"Low contrast thermal fade",vendor,"ARTISAN ROAST CAFE","ARTISAN ROAST",true,high,INFO,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""ARTISAN ROAST"""
receipt_001_contrast,"Low contrast thermal fade",total,"15.44","5",false,medium,HIGH,"GT: 15.44 vs Bot: 5"
receipt_001_contrast,"Low contrast thermal fade",date,"14-Oct-2024","14-Oct-2024",true,high,INFO,"GT: ""14-Oct-2024"" vs Bot: ""14-Oct-2024"""
receipt_001_contrast,"Low contrast thermal fade",time,"10:24 AM","10:24",true,high,INFO,"GT: ""10:24 AM"" vs Bot: ""10:24"""
receipt_001_contrast,"Low contrast thermal fade",receipt_number,"#AR7739","undefined",true,low,INFO,"GT: ""#AR7739"" vs Bot: ""undefined"""
receipt_001_contrast,"Low contrast thermal fade",subtotal,"14.7","14.7",true,high,INFO,"GT: 14.7 vs Bot: 14.7"
receipt_001_contrast,"Low contrast thermal fade",taxes,"[object Object],[object Object]","0.37",false,high,CRITICAL,"GT Tax: 0.74 vs Bot Tax: 0.37"
receipt_001_contrast,"Low contrast thermal fade",payment_method,"Visa","VISA",true,high,INFO,"GT: ""Visa"" vs Bot: ""VISA"""
receipt_001_crop,"Cropped bottom section (total missing)",vendor,"ARTISAN ROAST CAFE","Roast Cafe",true,high,INFO,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""Roast Cafe"""
receipt_001_crop,"Cropped bottom section (total missing)",total,"NOT_VISIBLE","5.2",false,low,HIGH,"Hallucinated non-visible field"
receipt_001_crop,"Cropped bottom section (total missing)",date,"14-Oct-2024","14-Oct-2024",true,high,INFO,"GT: ""14-Oct-2024"" vs Bot: ""14-Oct-2024"""
receipt_001_crop,"Cropped bottom section (total missing)",time,"10:24 AM","10:24",true,high,INFO,"GT: ""10:24 AM"" vs Bot: ""10:24"""
receipt_001_crop,"Cropped bottom section (total missing)",receipt_number,"#AR7739","undefined",true,low,INFO,"GT: ""#AR7739"" vs Bot: ""undefined"""
receipt_001_crop,"Cropped bottom section (total missing)",subtotal,"NOT_VISIBLE","5.2",false,high,HIGH,"Hallucinated non-visible field"
receipt_001_crop,"Cropped bottom section (total missing)",taxes,"NOT_VISIBLE","OMITTED",true,none,INFO,"Correctly omitted non-visible field"
receipt_001_crop,"Cropped bottom section (total missing)",payment_method,"NOT_VISIBLE","OMITTED",true,none,INFO,"Correctly omitted non-visible field"
receipt_001_glare,"Flash glare across total section",vendor,"ARTISAN ROAST CAFE","ARTISAN ROAST CAFE",true,high,INFO,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""ARTISAN ROAST CAFE"""
receipt_001_glare,"Flash glare across total section",total,"NOT_VISIBLE","14.7",false,high,HIGH,"Hallucinated non-visible field"
receipt_001_glare,"Flash glare across total section",date,"14-Oct-2024","14-Oct-2024",true,high,INFO,"GT: ""14-Oct-2024"" vs Bot: ""14-Oct-2024"""
receipt_001_glare,"Flash glare across total section",time,"10:24 AM","10:24 AM",true,high,INFO,"GT: ""10:24 AM"" vs Bot: ""10:24 AM"""
receipt_001_glare,"Flash glare across total section",receipt_number,"#AR7739","#ARTI39",false,high,CRITICAL,"GT: ""#AR7739"" vs Bot: ""#ARTI39"""
receipt_001_glare,"Flash glare across total section",subtotal,"14.7","14.7",true,high,INFO,"GT: 14.7 vs Bot: 14.7"
receipt_001_glare,"Flash glare across total section",taxes,"[object Object],[object Object]","undefined",false,low,MEDIUM,"GT Tax: 0.74 vs Bot Tax: 0"
receipt_001_glare,"Flash glare across total section",payment_method,"Visa","undefined",true,low,INFO,"GT: ""Visa"" vs Bot: ""undefined"""
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",vendor,"ARTISAN ROAST CAFE","1x Caramel Macchiato $5.20 Bem",false,high,CRITICAL,"GT: ""ARTISAN ROAST CAFE"" vs Bot: ""1x Caramel Macchiato $5.20 Bem"""
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",total,"15.44","19.17",false,high,CRITICAL,"GT: 15.44 vs Bot: 19.17"
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",date,"14-Oct-2024","14-Oct-2024",true,high,INFO,"GT: ""14-Oct-2024"" vs Bot: ""14-Oct-2024"""
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",time,"10:24 AM","10:24 AM",true,high,INFO,"GT: ""10:24 AM"" vs Bot: ""10:24 AM"""
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",receipt_number,"#AR7739","#ART739",false,high,CRITICAL,"GT: ""#AR7739"" vs Bot: ""#ART739"""
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",subtotal,"14.7","18.8",false,high,CRITICAL,"GT: 14.7 vs Bot: 18.8"
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",taxes,"[object Object],[object Object]","0.37",false,high,CRITICAL,"GT Tax: 0.74 vs Bot Tax: 0.37"
receipt_001_jpeg,"Heavy JPEG compression (quality=12)",payment_method,"Visa","VISA ending in 1984",true,high,INFO,"GT: ""Visa"" vs Bot: ""VISA ending in 1984"""
receipt_001_occlusion,"Partial occlusion across vendor header",vendor,"NOT_VISIBLE","ARTISAN ROAST CAFE",false,high,HIGH,"Hallucinated non-visible field"
receipt_001_occlusion,"Partial occlusion across vendor header",total,"15.44","15.44",true,high,INFO,"GT: 15.44 vs Bot: 15.44"
receipt_001_occlusion,"Partial occlusion across vendor header",date,"14-Oct-2024","14-00-2024",false,high,CRITICAL,"GT: ""14-Oct-2024"" vs Bot: ""14-00-2024"""
